Price,Area,Location,No. of Bedrooms,City,Locality,Latitude,Longitude,Property_Type,Furnishing_Status,Unnamed: 0,New/Resale,Gymnasium,Lift Available,Car Parking,Maintenance Staff,24x7 Security,Children's Play Area,Clubhouse,Intercom,Landscaped Gardens,Indoor Games,Gas Connection,Jogging Track,Swimming Pool
18463537,2209,Banjara Hills,4,Hyderabad,Banjara Hills,17.421162,78.476692,Villa,Unfurnished,,,,,,,,,,,,,,,
9043450,1667,Hitech City,3,Hyderabad,Hitech City,17.454583,78.374066,Apartment,Semi-Furnished,,,,,,,,,,,,,,,
28816212,2579,Jubilee Hills,3,Hyderabad,Jubilee Hills,17.433951,78.415048,Apartment,Semi-Furnished,,,,,,,,,,,,,,,
10142847,1981,Manikonda,3,Hyderabad,Manikonda,17.400388,78.386611,Apartment,Semi-Furnished,,,,,,,,,,,,,,,
18593727,2292,Gachibowli,3,Hyderabad,Gachibowli,17.436319,78.355421,Penthouse,Unfurnished,,,,,,,,,,,,,,,
24573140,1892,Banjara Hills,3,Hyderabad,Banjara Hills,17.42129,78.473273,Apartment,Fully-Furnished,,,,,,,,,,,,,,,
30133932,3361,Banjara Hills,4,Hyderabad,Banjara Hills,17.41702,78.479596,Apartment,Semi-Furnished,,,,,,,,,,,,,,,
7600517,1581,Manikonda,3,Hyderabad,Manikonda,17.40107,78.381486,Apartment,Semi-Furnished,,,,,,,,,,,,,,,
6793392,1331,Uppal,3,Hyderabad,Uppal,17.410175,78.554977,Apartment,Fully-Furnished,,,,,,,,,,,,,,,
10171250,1816,Bachupally,3,Hyderabad,Bachupally,17.547508,78.383288,Apartment,Semi-Furnished,,,,,,,,,,,,,,,
30485258,3414,Hitech City,3,Hyderabad,Hitech City,17.44457,78.372086,Apartment,Semi-Furnished,,,,,,,,,,,,,,,
17891013,2965,Kondapur,3,Hyderabad,Kondapur,17.468784,78.370246,Apartment,Unfurnished,,,,,,,,,,,,,,,
6643775,1346,Uppal,3,Hyderabad,Uppal,17.411882,78.562999,Villa,Fully-Furnished,,,,,,,,,,,,,,,
5306425,1499,LB Nagar,3,Hyderabad,LB Nagar,17.344201,78.546637,Villa,Semi-Furnished,,,,,,,,,,,,,,,
4753022,1136,Bachupally,2,Hyderabad,Bachupally,17.538883,78.381285,Apartment,Fully-Furnished,,,,,,,,,,,,,,,
5467819,1260,Miyapur,3,Hyderabad,Miyapur,17.500901,78.357094,Apartment,Unfurnished,,,,,,,,,,,,,,,
5363775,1220,Dilsukhnagar,3,Hyderabad,Dilsukhnagar,17.362215,78.525095,Apartment,Fully-Furnished,,,,,,,,,,,,,,,
13970214,1977,Madhapur,4,Hyderabad,Madhapur,17.440359,78.39797,Villa,Semi-Furnished,,,,,,,,,,,,,,,
14448332,1987,Hitech City,3,Hyderabad,Hitech City,17.442138,78.367522,Apartment,Fully-Furnished,,,,,,,,,,,,,,,
4559320,1013,LB Nagar,2,Hyderabad,LB Nagar,17.344881,78.556654,Apartment,Unfurnished,,,,,,,,,,,,,,,
5328144,994,Ameerpet,2,Hyderabad,Ameerpet,17.437715,78.451857,Apartment,Unfurnished,,,,,,,,,,,,,,,
6502409,1448,Miyapur,3,Hyderabad,Miyapur,17.496785,78.356341,Villa,Fully-Furnished,,,,,,,,,,,,,,,
7864602,1466,Manikonda,3,Hyderabad,Manikonda,17.410437,78.385478,Apartment,Unfurnished,,,,,,,,,,,,,,,
6539089,1310,Kukatpally,3,Hyderabad,Kukatpally,17.495885,78.405232,Villa,Unfurnished,,,,,,,,,,,,,,,
3241279,706,LB Nagar,1,Hyderabad,LB Nagar,17.355123,78.560777,Apartment,Unfurnished,,,,,,,,,,,,,,,
20703156,3077,Madhapur,3,Hyderabad,Madhapur,17.444968,78.387897,Villa,Semi-Furnished,,,,,,,,,,,,,,,
10050695,1718,Manikonda,3,Hyderabad,Manikonda,17.407498,78.382417,Apartment,Unfurnished,,,,,,,,,,,,,,,
7787600,1333,Kukatpally,3,Hyderabad,Kukatpally,17.48931,78.39061,Apartment,Unfurnished,,,,,,,,,,,,,,,
4824202,998,Secunderabad,2,Hyderabad,Secunderabad,17.439502,78.491308,Apartment,Semi-Furnished,,,,,,,,,,,,,,,
4549308,927,Dilsukhnagar,2,Hyderabad,Dilsukhnagar,17.371831,78.529739,Villa,Semi-Furnished,,,,,,,,,,,,,,,
7628823,1408,Nizampet,3,Hyderabad,Nizampet,17.502739,78.399319,Apartment,Unfurnished,,,,,,,,,,,,,,,
8536467,1834,Kompally,3,Hyderabad,Kompally,17.54331,78.495433,Villa,Semi-Furnished,,,,,,,,,,,,,,,
5766730,1193,Ameerpet,2,Hyderabad,Ameerpet,17.439764,78.44433,Apartment,Fully-Furnished,,,,,,,,,,,,,,,
4448675,1144,Kompally,2,Hyderabad,Kompally,17.543413,78.485419,Apartment,Fully-Furnished,,,,,,,,,,,,,,,
6127769,1209,SR Nagar,3,Hyderabad,SR Nagar,17.434768,78.455958,Villa,Unfurnished,,,,,,,,,,,,,,,
